TEAMS,TOTAL_TACKLES_SEASON_6,TOTAL_TACKLES_SEASON_5,TOTAL_TACKLES_SEASON_4,TOTAL_TACKLES_SEASON_3,TOTAL_TACKLES_SEASON_2,TOTAL_TACKLES_SEASON_1,SUCCESSFUL_TACKLES_SEASON_6,SUCCESSFUL_TACKLES_SEASON_5,SUCCESSFUL_TACKLES_SEASON_4,SUCCESSFUL_TACKLES_SEASON_3,SUCCESSFUL_TACKLES_SEASON_2,SUCCESSFUL_TACKLES_SEASON_1,UNSUCCESFUL_TACKLES_SEASON_6,UNSUCCESFUL_TACKLES_SEASON_5,UNSUCCESFUL_TACKLES_SEASON_4,UNSUCCESFUL_TACKLES_SEASON_3,UNSUCCESFUL_TACKLES_SEASON_2,UNSUCCESFUL_TACKLES_SEASON_1,SUCCESSFUL_TACKLE_%_SEASON_6,SUCCESSFUL_TACKLE_%_SEASON_5,SUCCESSFUL_TACKLE_%_SEASON_4,SUCCESSFUL_TACKLE_%_SEASON_3,SUCCESSFUL_TACKLE_%_SEASON_2,SUCCESSFUL_TACKLE_%_SEASON_1,NO._OF_SUPER_TACKLES_SEASON_6,NO._OF_SUPER_TACKLES_SEASON_5,NO._OF_SUPER_TACKLES_SEASON_4,NO._OF_SUPER_TACKLES_SEASON_3,NO._OF_SUPER_TACKLES_SEASON_2,NO._OF_SUPER_TACKLES_SEASON_1,ALL_OUTS_INFLICTED_SEASON_6,ALL_OUTS_INFLICTED_SEASON_5,ALL_OUTS_INFLICTED_SEASON_4,ALL_OUTS_INFLICTED_SEASON_3,ALL_OUTS_INFLICTED_SEASON_2,ALL_OUTS_INFLICTED_SEASON_1,TOTAL_ALL_OUT_POINTS_SEASON_6,TOTAL_ALL_OUT_POINTS_SEASON_5,TOTAL_ALL_OUT_POINTS_SEASON_4,TOTAL_ALL_OUT_POINTS_SEASON_3,TOTAL_ALL_OUT_POINTS_SEASON_2,TOTAL_ALL_OUT_POINTS_SEASON_1,TOTAL_DEFENCE_POINTS_SEASON_6,TOTAL_DEFENCE_POINTS_SEASON_5,TOTAL_DEFENCE_POINTS_SEASON_4,TOTAL_DEFENCE_POINTS_SEASON_3,TOTAL_DEFENCE_POINTS_SEASON_2,TOTAL_DEFENCE_POINTS_SEASON_1
BENGAL WARRIORS,508,521,318,329,306,381,186,181,117,137,116,106,322,340,201,192,190,275,39%,37%,39%,46%,44%,32%,16,12,8,13,21,16,23,27,11,17,10,11,46,54,22,34,20,22,200,193,125,150,136,122
BENGALURU BULLS,550,480,287,291,341,353,219,185,109,94,158,153,331,295,178,197,183,200,42%,42%,43%,34%,48%,46%,12,17,15,7,7,10,37,28,9,12,25,20,74,56,18,24,50,40,230,200,124,100,164,163
DABANG DELHI K.C.,559,497,306,346,333,370,198,159,116,98,122,124,361,338,190,248,211,246,39%,34%,44%,32%,41%,36%,19,12,20,13,14,10,34,18,15,9,13,18,68,36,30,18,26,36,216,169,134,111,136,134
GUJARAT FORTUNEGIANTS,586,497,0,0,0,0,258,242,0,0,0,0,328,255,0,0,0,0,47%,51%,0,0,0,0,18,12,0,0,0,0,36,36,0,0,0,0,72,72,0,0,0,0,274,254,0,0,0,0
HARYANA STEELERS,562,544,0,0,0,0,180,206,0,0,0,0,382,338,0,0,0,0,34%,42%,0,0,0,0,15,21,0,0,0,0,16,27,0,0,0,0,32,54,0,0,0,0,193,227,0,0,0,0
JAIPUR PINK PANTHERS,551,459,319,274,298,400,202,162,119,101,124,158,349,297,200,173,174,242,41%,37%,42%,43%,48%,42%,25,10,17,16,18,12,22,22,17,11,17,29,44,44,34,22,34,58,225,171,135,117,142,170
PATNA PIRATES,555,625,332,405,376,380,186,226,145,175,152,124,369,399,187,230,224,256,36%,40%,52%,45%,44%,37%,16,27,27,7,13,18,30,55,19,30,13,18,60,110,38,60,26,36,201,252,171,182,164,142
PUNERI PALTAN,502,547,345,371,307,368,189,252,140,174,104,93,313,295,205,197,203,275,44%,50%,42%,50%,37%,29%,34,21,7,13,11,14,14,32,21,25,12,12,28,64,42,50,24,24,219,271,146,187,114,107
TAMIL THALAIVAS,498,517,0,0,0,0,174,184,0,0,0,0,324,333,0,0,0,0,38%,39%,0,0,0,0,15,17,0,0,0,0,20,19,0,0,0,0,40,38,0,0,0,0,189,201,0,0,0,0
TELUGU TITANS,486,508,364,304,399,333,202,191,157,101,158,96,284,317,207,203,241,237,48%,41%,44%,38%,43%,31%,33,17,5,15,16,8,18,25,22,13,26,25,36,50,44,26,52,50,233,207,162,116,172,104
U MUMBA,558,539,293,329,364,409,274,176,110,163,180,145,284,363,183,166,184,264,52%,37%,41%,51%,54%,38%,15,26,11,6,16,12,41,21,15,27,20,21,82,42,30,54,40,42,289,202,121,169,196,157
U.P. YODDHA,594,551,0,0,0,0,240,183,0,0,0,0,354,368,0,0,0,0,45%,36%,0,0,0,0,27,19,0,0,0,0,26,23,0,0,0,0,52,46,0,0,0,0,265,201,0,0,0,0
